new_id,prob
6,0.0614046330449083
7,0.135063272842288
8,0.00961483145299087
10,0.112170151452694
11,0.0484321982519529
12,0.974728602028529
18,0.999783336924231
22,0.00798982601233195
25,0.954040441257996
29,0.838317862157243
35,0.614386976830177
40,0.00149163200262094
41,0.786111125479464
42,0.986971380930201
44,0.818854690296362
46,0.161989111501332
48,0.979985357254133
51,0.000842470776176751
54,0.113110323768432
55,0.0313337016896648
56,0.972836585131446
58,0.832292577647922
60,0.958563502505221
63,0.0969518488979102
65,0.999999984757655
68,0.967122053612138
71,0.0161098548595036
72,0.947697294302742
75,0.236362774529071
78,0.417931851628259
80,0.776548560119188
81,0.0201847545714732
83,0.118425348497878
86,0.701201044096228
89,0.117021880966724
90,0.964393197546127
92,0.617550957155206
97,0.0291839242523239
104,0.763976020723424
105,0.860962936289305
108,0.964504850006192
109,0.000357265389641258
112,0.564297376675121
114,0.993945429826967
122,0.986536170687934
123,0.00689929620054352
124,0.781586065450003
130,0.609938586044278
134,0.0830226334365021
135,0.640101836846331
140,0.00434924200578754
142,0.736738283459956
143,0.445722622420433
145,0.219402435766531
147,0.12825484101918
151,0.729296760141777
152,0.0150275910324608
153,0.823699882702238
156,0.839105454621193
159,0.684778607367106
166,0.488768524149639
167,0.895976556202483
169,0.83293461790701
170,0.00819800860306863
171,0.0132556162190777
175,0.0693303320537461
176,0.0253574730717742
180,0.684350152932961
186,0.59992937017919
189,0.458494289910188
190,0.858979743068587
191,0.506820714936281
197,0.614730149122628
198,0.120972532817979
199,0.958904400572109
200,0.000844156121405627
203,0.09623188180507
205,0.0532117850356879
208,0.00318501639301228
209,0.652588013140068
210,0.117295558767706
213,0.892565881207107
214,0.473613514778345
215,0.060367876546798
221,0.669936017234128
223,0.956329440872277
224,0.133171639320043
225,0.849856463817098
227,0.588946526956004
229,0.669250037134273
230,0.215335160552171
231,0.726379991628842
232,0.162343296131997
234,0.0964552860479317
236,0.915447315695178
237,0.963222519492544
238,0.000688636718110764
240,0.852146731058115
241,0.0772770762813681
242,0.0013093526392432
243,0.519995077070211
244,0.729341808928898
245,0.00300934095715872
249,0.983289582630738
251,0.994716090353726
256,0.268141997660749
257,0.325783720570513
259,0.0233178161522162
261,0.178339026641666
262,0.32780940950386
264,0.569173269575568
267,0.938512282038782
